song_id,title,release,artist_name,year,tag,duration,listeners,playcount,image_url_large,image_url_exlarge
SOYGNWH12AB018191E,L'antarctique,Des cobras des tarentules,3 Gars Su'l Sofa,2007,[],0,417,2220,n/a,n/a
SOLJTLX12AB01890ED,El hijo del pueblo,32 Grandes Éxitos  CD 2,Jorge Negrete,1997,"['ranchera', 'El Hijo del Pueblo', 'latin', 'familiarity', 'bolero']",0,4494,8100,https://lastfm.freetls.fastly.net/i/u/174s/a9910cb672fc4a3fca3e5dfa9d52768b.png,https://lastfm.freetls.fastly.net/i/u/300x300/a9910cb672fc4a3fca3e5dfa9d52768b.png
SOQQESG12A58A7AA28,Cold Beer feat. Prince Metropolitan,International Hardcore Superstar,Danny Diablo,0,[],301000,141,336,https://lastfm.freetls.fastly.net/i/u/174s/bdfcdc45569d41f58f4d8fc8f33708a2.png,https://lastfm.freetls.fastly.net/i/u/300x300/bdfcdc45569d41f58f4d8fc8f33708a2.png
SOMPVQB12A8C1379BB,Pilots,The Loyal,Tiger Lou,2005,['getragen'],0,2554,12764,n/a,n/a
SOGPCJI12A8C13CCA0,N Gana,Afropea 3 - Telling Stories To The Sea,Waldemar Bastos,0,"['africa', 'chillout', 'world', 'fado', 'favorit']",273000,1425,2712,https://lastfm.freetls.fastly.net/i/u/174s/5edd0b78af6643b99c492ec9e98f7b0a.png,https://lastfm.freetls.fastly.net/i/u/300x300/5edd0b78af6643b99c492ec9e98f7b0a.png
SOSDCFG12AB0184647,6,Lena 20 År,Lena Philipsson,1998,"['pop', 'swedish', '1991', 'rakt over disc']",262000,543,1951,https://lastfm.freetls.fastly.net/i/u/174s/5266234623c8f3c7c0e25df272d865eb.png,https://lastfm.freetls.fastly.net/i/u/300x300/5266234623c8f3c7c0e25df272d865eb.png
SOBARPM12A8C133DFF,(Looking For) The Heart Of Saturday,Cover Girl,Shawn Colvin,1994,['cover'],0,834,1959,n/a,n/a
SOKOVRQ12A8C142811,Ethos of Coercion,Descend Into Depravity,Dying Fetus,2009,"['Technical Death Metal', 'death metal', 'Brutal Death Metal', 'metal', 'Technical Brutal Death Metal']",196000,23331,118021,https://lastfm.freetls.fastly.net/i/u/174s/c663a62098cd47f8900b609f4265763c.png,https://lastfm.freetls.fastly.net/i/u/300x300/c663a62098cd47f8900b609f4265763c.png
SOIMMJJ12AF72AD643,Rock-N-Rule,I'm Only A Man (Bonus Track Version),Emery,2007,"['post-hardcore', 'emo', 'emocore', 'rock', 'hardcore']",217000,33723,187351,https://lastfm.freetls.fastly.net/i/u/174s/9cbcbf6634cd4e7a8c0b1a270bcb9383.png,https://lastfm.freetls.fastly.net/i/u/300x300/9cbcbf6634cd4e7a8c0b1a270bcb9383.png
SOVMBTP12A8C13A8F6,La bola extra,La bola extra,Los Ronaldos,0,[],355000,321,711,https://lastfm.freetls.fastly.net/i/u/174s/0ab30680a372a2b67870422c2976f767.png,https://lastfm.freetls.fastly.net/i/u/300x300/0ab30680a372a2b67870422c2976f767.png
SOOUESZ12AB0189AFD,I Made It Over,Let's Celebrate (He Is Risen),Rev. Timothy Wright,0,['THE WRIGHT WAY'],0,48,149,https://lastfm.freetls.fastly.net/i/u/174s/67a1f58ba1905cd318a8772742c29101.png,https://lastfm.freetls.fastly.net/i/u/300x300/67a1f58ba1905cd318a8772742c29101.png
SOAGMGG12A6D4F9099,Debussy : 12 Etudes : VI Pour les huit doigts,Debussy : 12 Etudes_ Images Sets 1 & 2,Pierre-Laurent Aimard,0,[],0,48,91,n/a,n/a
SOGFWVT12A8C137C64,Nervous,Let No One Live Rent Free In Your Head,Nicolette,1996,"['electropunk', 'dark electro', 'cyberpunk', 'glitch pop', 'techno-industrial']",213000,1647,3954,https://lastfm.freetls.fastly.net/i/u/174s/1369f0fa5c47fe893c923236b8f81f8b.png,https://lastfm.freetls.fastly.net/i/u/300x300/1369f0fa5c47fe893c923236b8f81f8b.png
SOKLPMH12AB01861FA,In The Journey,In The Journey,Martin Sexton,2001,"['singer-songwriter', 'rock', 'seen live', 'vocal', 'jazz']",321000,2440,8991,https://lastfm.freetls.fastly.net/i/u/174s/38448e2d3a24e2992b0132f77ee61f6a.png,https://lastfm.freetls.fastly.net/i/u/300x300/38448e2d3a24e2992b0132f77ee61f6a.png
SOEPAIN12A8C1396A7,Fuckin Ethic People (999),Crazeë Musick,Craze,0,[],204000,76,124,n/a,n/a
SOQMZZI12AB01850D4,Tu Vida Con La Mía,Hoy Quiero Soñar,Christian Castro,0,[],257000,7600,14753,https://lastfm.freetls.fastly.net/i/u/174s/b3c2eb3de8a3f4854fded435b60355ca.png,https://lastfm.freetls.fastly.net/i/u/300x300/b3c2eb3de8a3f4854fded435b60355ca.png
SOEEHEY12CF5F88FB4,I'm Ready,Honkin' On Bobo,Aerosmith,2004,"['hard rock', 'rock', 'classic rock', 'blues rock', 'blues']",253000,25537,71405,https://lastfm.freetls.fastly.net/i/u/174s/ec561edff4264b20bd8c9758999fcf87.png,https://lastfm.freetls.fastly.net/i/u/300x300/ec561edff4264b20bd8c9758999fcf87.png
SOWUMAZ12A67ADE769,Take As Needed,Nerve Damage,Skinlab,2002,"['metal', 'Driving', 'in your face', '3-star', 'metalcore metal']",210000,3259,10381,https://lastfm.freetls.fastly.net/i/u/174s/e3b93511889cfb6021c6bd0c108166be.png,https://lastfm.freetls.fastly.net/i/u/300x300/e3b93511889cfb6021c6bd0c108166be.png
SOJJAZT12AC4687219,Autumn In The Mind (Acoustic Version),Lo Fi_ Acoustic Excursions,Mike Badger and Friends,0,[],0,0,0,n/a,n/a
SOMLHJQ12AC4685B45,Tequila,Tequila il mambo del giubileo (12 Inc),Piotta,0,[],0,42,148,n/a,n/a
SOYNOIK12A6D4F7F3F,All For A Purpose (Speak Life Album Version),Speak Life,Sev Statik,0,[],236000,42,55,https://lastfm.freetls.fastly.net/i/u/174s/d4484769edd9a32b9989e2f97eaf90dc.png,https://lastfm.freetls.fastly.net/i/u/300x300/d4484769edd9a32b9989e2f97eaf90dc.png
SOPUJOM12AB017FEEB,C On,C On,The Advent,0,['electronic'],433000,89,241,https://lastfm.freetls.fastly.net/i/u/174s/9372426161e040a28825d4db4851a7ee.png,https://lastfm.freetls.fastly.net/i/u/300x300/9372426161e040a28825d4db4851a7ee.png
SOGNNYL12A6D4F910B,Raspberry Beret (LP Version),The Hits/The B-Sides,Prince & The Revolution,0,"['rock', 'favorite songs', 'funky', 'childhood', 'Minneapolis']",0,701,1263,n/a,n/a
SOOLRHW12A8C142643,All of the same blood,Violent revolution,Kreator,2001,"['thrash metal', 'metal', 'german thrash metal', 'thrash', 'heavy metal']",372000,34375,174169,https://lastfm.freetls.fastly.net/i/u/174s/68d4797768d28df82a27fc7fda1a6351.png,https://lastfm.freetls.fastly.net/i/u/300x300/68d4797768d28df82a27fc7fda1a6351.png
SOMKNZS12A8C13DEBC,One Little Too Little,Hall Of Fame,Hall Of Fame,1996,[],92000,84,168,https://lastfm.freetls.fastly.net/i/u/174s/47fdd59af2f44670893b9c2b2f24afab.png,https://lastfm.freetls.fastly.net/i/u/300x300/47fdd59af2f44670893b9c2b2f24afab.png
SOYKVON12A8C14097E,Cockleshell Heroes,Classic Years,Frank Chacksfield,2007,"['instrumental', 'march']",154000,886,1732,https://lastfm.freetls.fastly.net/i/u/174s/b58d2e6dfeefd8868912c81fff17ae75.png,https://lastfm.freetls.fastly.net/i/u/300x300/b58d2e6dfeefd8868912c81fff17ae75.png
SOEXAWC12AB01817E6,Trancesequence,Voyage,Voyage,0,[],85000,144,221,n/a,n/a
SOKQCDA12A6D4FA556,Wonderful Stash,TRANCE VISIONARY,Wishbone Ash,1998,"['classic rock', 'ambient', 'Progressive rock', 'Drum  Bass', 'progressive jazz rock']",437000,686,1351,https://lastfm.freetls.fastly.net/i/u/174s/52cb1d5e9300fb123a12f6d9a6115a75.png,https://lastfm.freetls.fastly.net/i/u/300x300/52cb1d5e9300fb123a12f6d9a6115a75.png
SOFWVLR12A8C1328DC,La filo,Le meilleur,Malavoi,0,['Martinique'],0,691,2419,https://lastfm.freetls.fastly.net/i/u/174s/373377cf1097413fbd32b059b4a86c43.png,https://lastfm.freetls.fastly.net/i/u/300x300/373377cf1097413fbd32b059b4a86c43.png
SOLRKBF12A8C13C88A,Throw It Away,Easy Listening,Cobra Verde,2003,[],246000,241,598,https://lastfm.freetls.fastly.net/i/u/174s/993732caadc54902aa83fdfee7ffb203.png,https://lastfm.freetls.fastly.net/i/u/300x300/993732caadc54902aa83fdfee7ffb203.png
SOBDLRM12A8C13A0AC,Before He Kissed Me,Lisa Brokop,Lisa Brokop,0,"['country', 'female vocalists', 'bob preedy hot country']",141000,336,1501,https://lastfm.freetls.fastly.net/i/u/174s/1a0fa8c3ba95aabb57e18a2d2d9eeaa3.png,https://lastfm.freetls.fastly.net/i/u/300x300/1a0fa8c3ba95aabb57e18a2d2d9eeaa3.png
SOMXBRA12AB017C656,Blessed,Rejoice,The Emotions,1977,"['soul', 'female vocalists', 'r&b', 'christian', 'gospel']",0,3943,9982,https://lastfm.freetls.fastly.net/i/u/174s/275a80e0ab84bf309ce05d9e7bf4fb5e.png,https://lastfm.freetls.fastly.net/i/u/300x300/275a80e0ab84bf309ce05d9e7bf4fb5e.png
SODJAOH12A58A77B23,Goa Amsterdam,B.P.M. - Bionic Pulse Method Vol. 3,Safi Connection,0,[],424000,97,232,https://lastfm.freetls.fastly.net/i/u/174s/5b8fa21b94c0b76aa716cd2f4317211f.png,https://lastfm.freetls.fastly.net/i/u/300x300/5b8fa21b94c0b76aa716cd2f4317211f.png
SOCPTIN12A8C14265F,Disaster [Demo Version],Fragile Future,Hawthorne Heights,2008,[],0,248,556,n/a,n/a
SODVOFJ12AB0181EE6,Night And Day,The Best Of,The Maytals,1994,"['reggae', 'rocksteady', 'fip', 'i want back to the 60s', 'lekker ska']",173000,6752,18965,https://lastfm.freetls.fastly.net/i/u/174s/a6b3db552171565f3d26aecb67f84342.png,https://lastfm.freetls.fastly.net/i/u/300x300/a6b3db552171565f3d26aecb67f84342.png
SODDEQU12AAF3B2FC8,Passione,Alla Fine Della Notte,Neffa,2007,"['italian', 'saturno contro', 'male vocalists', 'Italian Streamable', 'BillyBoy']",230000,7795,25258,n/a,n/a
SONYUEW12AB018B373,My Everything [Screwed] (feat. Trae The Truth),[Screwed] Tha Flood - Swishahouse Mix,Lil O,0,[],0,0,0,n/a,n/a
SOWWQXA12A81C1F9CA,Scream,Devil's Playground,Billy Idol,2005,"['rock', 'punk rock', '80s', 'Billy Idol', 'punk']",0,34455,141061,https://lastfm.freetls.fastly.net/i/u/174s/4d3f369a7e8745ffc5d6bbd5047dce5e.png,https://lastfm.freetls.fastly.net/i/u/300x300/4d3f369a7e8745ffc5d6bbd5047dce5e.png
SONNHYN12AB018538B,The Man Delusion,The Man Delusion,The Vichy Government,0,[],168000,78,215,n/a,n/a
SOCWWYB12A6D4F9AF4,He Is Not Silent (Out Of The Grey Album Version),The Early Years,Out Of The Grey,0,[],0,38,63,https://lastfm.freetls.fastly.net/i/u/174s/73d1e10bcf9cf7d96f6ad9ede50674c6.png,https://lastfm.freetls.fastly.net/i/u/300x300/73d1e10bcf9cf7d96f6ad9ede50674c6.png
SOIRTNX12AB018B41D,Pepe El Mañoso,Salsa Cubana Vol.6,Orquesta Sonara La Habana,0,[],209000,0,0,https://lastfm.freetls.fastly.net/i/u/174s/7f6a53d832d6488b869d9fa61384b4d9.png,https://lastfm.freetls.fastly.net/i/u/300x300/7f6a53d832d6488b869d9fa61384b4d9.png
SOLGCKQ12A8AE47CFA,Acércate Más,Éxitos Del Romántico De Siempre,Leo Marini,0,"['boleros', 'recuerdos', 'bolero', 'boleros jcf', 'schuld war nur der bossanova']",150000,2409,4762,https://lastfm.freetls.fastly.net/i/u/174s/1206784fefd9494ca5a7ee490056d6a1.png,https://lastfm.freetls.fastly.net/i/u/300x300/1206784fefd9494ca5a7ee490056d6a1.png
SOZOAEF12AB017F0A9,Mule Boogie,Country & Western,Sheb Wooley,1993,[],0,115,216,n/a,n/a
SOHMYGC12A6D4FAC4B,Dancing In The Dark,The Look Of Love,Diana Krall,2001,"['jazz', 'female vocalists', 'jazz vocal', 'vocal jazz', 'Diana Krall']",0,51983,167594,n/a,n/a
SOHSSPG12A8C144BE0,Mad About You,Change of Heart,Clifford T. Ward,2003,[],206000,79,151,https://lastfm.freetls.fastly.net/i/u/174s/0e2301bc97984d67ea46585af19085f3.png,https://lastfm.freetls.fastly.net/i/u/300x300/0e2301bc97984d67ea46585af19085f3.png
SOCBSOR12A8C1314DD,Heartaches,Just Kiddin' Around,Ray Conniff;Billy Butterfield,0,[],0,10,15,n/a,n/a
SOOKLXI12A8C142FB0,Pain Over Acceptance,Unforgivable,Weekend Nachos,0,"['hardcore', 'Crust', 'crustcore', 'beautiful voices']",113000,11944,55993,https://lastfm.freetls.fastly.net/i/u/174s/0c2f8f0d22ba97e2911cb3c0a593a28d.png,https://lastfm.freetls.fastly.net/i/u/300x300/0c2f8f0d22ba97e2911cb3c0a593a28d.png
SOYMTVV12A58A7C2D6,Ships That Don't Come In,The Ultimate Hits,Joe Diffie,1992,"['country', 'Joe Diffie', 'ships', 'GOOD STUFF FROM THE BOYS', 'great song']",219000,16206,36425,https://lastfm.freetls.fastly.net/i/u/174s/1a14446e35b14374c328bb7753353b3f.png,https://lastfm.freetls.fastly.net/i/u/300x300/1a14446e35b14374c328bb7753353b3f.png
SODQHXQ12AB0189AE0,Saturday Night  (LP Version),Rick Medlocke & Blackfoot,Blackfoot,0,[],0,1,4,n/a,n/a
SOFSJXP12AB017E676,I Just Want To Be With You This Christmas,My Christmas,Katie Armiger,0,[],202000,110,242,https://lastfm.freetls.fastly.net/i/u/174s/0015849b185e07ad0e340f5cd13cd035.png,https://lastfm.freetls.fastly.net/i/u/300x300/0015849b185e07ad0e340f5cd13cd035.png
SOHGZWM12AAA8C86EA,On the Surface,Songs for the Incurable Heart,Stemm,2005,['metalcore'],251000,1181,4708,https://lastfm.freetls.fastly.net/i/u/174s/28438582b8ed4a8f90c29431dbd00520.png,https://lastfm.freetls.fastly.net/i/u/300x300/28438582b8ed4a8f90c29431dbd00520.png
SOLBDWO12AB0188CC2,Remember (Walking In The Sand),Night In The Ruts,Aerosmith,1979,"['hard rock', 'rock', 'classic rock', 'aerosmith', 'blues rock']",0,71254,236863,https://lastfm.freetls.fastly.net/i/u/174s/8b73460d24e94ee9a632141cfc78b34e.png,https://lastfm.freetls.fastly.net/i/u/300x300/8b73460d24e94ee9a632141cfc78b34e.png
SOUHTYT12AB0189D1C,Just Another Woman,Singin' The Blues,Hot Lips Page,0,[],0,354,761,n/a,n/a
SOVUFFC12AC9E16242,untitled,Amaterasu,David Fridlund,2004,[],12000,2,2,https://lastfm.freetls.fastly.net/i/u/174s/37d5ec3a9455bc26a5eddddfa741b5e2.png,https://lastfm.freetls.fastly.net/i/u/300x300/37d5ec3a9455bc26a5eddddfa741b5e2.png
SOEBDKM12AC4686D3A,Bakslag,Om Gaia,Kultiration,2004,"['Kultiration', 'seen live', 'swedish', 'folk', 'political']",152000,3689,21301,https://lastfm.freetls.fastly.net/i/u/174s/3452bfcbae405fa11ca119d73d5d241d.png,https://lastfm.freetls.fastly.net/i/u/300x300/3452bfcbae405fa11ca119d73d5d241d.png
SOPJNRJ12A8C1461C4,The New Way,Radio Ixtlan,Ewigkeit,2004,"['Progressive metal', 'metal', 'electronic', 'melancholic', 'industrial metal']",300000,626,3156,https://lastfm.freetls.fastly.net/i/u/174s/c4e23c99512440f9a760c032120e7633.png,https://lastfm.freetls.fastly.net/i/u/300x300/c4e23c99512440f9a760c032120e7633.png
SOUVPJZ12AB018218C,Suffer,In My Own Cage,JOHN DOE,0,[],162000,20,65,n/a,n/a
SONUZSW12AAA15EA65,Cités dortoires (feat. 59 Grammes),Rakailles 4,Alpha 5.20,0,[],0,13,31,n/a,n/a
SOGBBEE12AB017ED6A,Bring It,Unspoken,Tonex,0,['Cross Rhythms'],194000,571,1431,n/a,n/a
SOPBCNI12AF729FE49,You And I,Shine Through The Stars,Chasen,2008,[],202000,885,2229,n/a,n/a
SOYKRSW12AB018078B,Sitting In My Window (Finis Tasby BMI),What My Blues Are All About,Finis Tasby,0,"['rock', 'blues', 'guitar', 'blues rock', 'harmonica blues']",0,351,648,https://lastfm.freetls.fastly.net/i/u/174s/99924fc15f704c069285c6941997d02c.png,https://lastfm.freetls.fastly.net/i/u/300x300/99924fc15f704c069285c6941997d02c.png
SORASFZ12AB01828C7,Raid The Itch,Black Label #57,Ogris Debris,0,"['electronic', 'House', 'deep house', 'metro minimal', 'metro electronica']",536000,349,853,https://lastfm.freetls.fastly.net/i/u/174s/38400af94271456d5741a2d72ed47cc8.png,https://lastfm.freetls.fastly.net/i/u/300x300/38400af94271456d5741a2d72ed47cc8.png
SOVOIOQ12AC4688FAC,The Rest of the Night,The Wind,Warren Zevon,2003,"['rock', '2003', 'Southern Rock', '00s', 'Down']",300000,8874,30057,https://lastfm.freetls.fastly.net/i/u/174s/b0867c21afbe420d974e15b2162aceca.png,https://lastfm.freetls.fastly.net/i/u/300x300/b0867c21afbe420d974e15b2162aceca.png
SOXAGQZ12AB018A089,Ride,Orion,Andrea Klas,0,[],241000,26,142,https://lastfm.freetls.fastly.net/i/u/174s/bc7a3ca343d10112d696fc8ab3a6d235.png,https://lastfm.freetls.fastly.net/i/u/300x300/bc7a3ca343d10112d696fc8ab3a6d235.png
SOLFMLX12AB0186EB5,Passion Protein,This Is Our Art,The Soup Dragons,1988,"['1988', '90 bpm']",322000,505,1329,https://lastfm.freetls.fastly.net/i/u/174s/3f86c0ea36514e35ceab975edf1ecbc5.png,https://lastfm.freetls.fastly.net/i/u/300x300/3f86c0ea36514e35ceab975edf1ecbc5.png
SOSNKHA12AB0185BD6,Redemption,Write This Down,Write This Down,2010,"['rock', 'good']",193000,4455,18288,https://lastfm.freetls.fastly.net/i/u/174s/16bc483d6a83445abe9d4716a44dff8a.png,https://lastfm.freetls.fastly.net/i/u/300x300/16bc483d6a83445abe9d4716a44dff8a.png
SOLOUIH12AB018146C,Dame Tus  Besos,Radio Macandé,Radio Macandé,0,[],236000,480,709,n/a,n/a
SOKWWCO12AB0187D70,Don't Prolong the Agony (Bonus Track),Touchpaper,Claire Hamill,0,[],225000,12,17,n/a,n/a
SODXEOD12AB018EC03,Dalny svet (bonus 2003),Kruiz-1,Kruiz,0,[],0,0,0,n/a,n/a
SONHPZT12AC90970C3,Alice in Wonderland: Act I: The Caucus Race,DAVIS_ C.: Alice in Wonderland [Ballet] (Prague City Philharmonic_ Davis),Carl Davis,0,[],180000,38,71,n/a,n/a
SOHQYYJ12AB0183B6D,Le mauvais coton,Dévaste-Moi,Brigitte Fontaine,1990,"['v0k4l j4zz', '4rr4b4l3r4', 'fip', 'gl4m']",195000,951,2677,https://lastfm.freetls.fastly.net/i/u/174s/811d969a0dafa8297a636a0849728479.png,https://lastfm.freetls.fastly.net/i/u/300x300/811d969a0dafa8297a636a0849728479.png
SOIOKZN12AB01857C2,Love Can Change feat. Nadine Sutherland,Fatis Presents Abijah,Abijah,0,[],241000,0,0,n/a,n/a
SOMPUGR12A8C146F57,Subtek,Tone Tales From Tomorrow,Hex,0,[],478000,380,1007,https://lastfm.freetls.fastly.net/i/u/174s/cfb08ea1a9db4e4fbb0d07c8e1ea914e.png,https://lastfm.freetls.fastly.net/i/u/300x300/cfb08ea1a9db4e4fbb0d07c8e1ea914e.png
SODMDUM12A6D4FCEE4,Dream Of Love,Lost In Paradise,X-Perience,2006,"['pop', 'female vocalists', 'dance', 'Love', 'german']",218000,2869,9780,https://lastfm.freetls.fastly.net/i/u/174s/3e7503516ceaed240335eae947139621.png,https://lastfm.freetls.fastly.net/i/u/300x300/3e7503516ceaed240335eae947139621.png
SONVYNC12AB0184ECC,Lucy Fears the Morning Star,Sing-Along Songs for the Damned and Delirious,Diablo Swing Orchestra,2009,"['Avant-garde Metal', 'metal', 'Progressive metal', 'Avant-Garde', 'salsa metal']",394000,34606,225463,https://lastfm.freetls.fastly.net/i/u/174s/6501223ad982ef6ce5aef91207208365.png,https://lastfm.freetls.fastly.net/i/u/300x300/6501223ad982ef6ce5aef91207208365.png
SOPHQEL12A8C1357CC,Fool on the Hill,English Guitar Music,John Williams,0,[],215000,163,429,https://lastfm.freetls.fastly.net/i/u/174s/cfb70d193146a65c17194458949c3808.png,https://lastfm.freetls.fastly.net/i/u/300x300/cfb70d193146a65c17194458949c3808.png
SOLQULR12AB018D726,Baiting the Public,Hidden World,Fucked Up,2006,"['hardcore', 'hardcore punk', 'punk rock', 'punk', 'old school']",356000,23798,99887,https://lastfm.freetls.fastly.net/i/u/174s/e3c58aed63094c2d8c00cb70b416ee35.png,https://lastfm.freetls.fastly.net/i/u/300x300/e3c58aed63094c2d8c00cb70b416ee35.png
SOKXBTF12A6BD4F3AD,Death Acceptor,TheBloodyTransylvaniaStreetMachine,Drexel,0,[],258000,15,21,n/a,n/a
SOPFHPD12A8C1407F6,Wipeout,100 Years of Surfing,The Surfaris,1988,"['Surf', 'instrumental', 'surf rock', '60s', 'oldies']",134000,69109,200038,n/a,n/a
SOORUNH12AB0182395,Fick uns,Die besten Tage sind gezählt,Kool Savas,0,[],11000,29,65,https://lastfm.freetls.fastly.net/i/u/174s/d477eff3dbf04f6fcfe13903e7c15602.png,https://lastfm.freetls.fastly.net/i/u/300x300/d477eff3dbf04f6fcfe13903e7c15602.png
SOAOSWS12AB0189131,Wir Sind Die Jungs feat. Din & Smexer,Blackbooked No. 2 - Jung_ schön und stylish,Prinz Porno,0,[],299000,227,664,https://lastfm.freetls.fastly.net/i/u/174s/076c32b8a2e95ce23e99ac50acc4c02f.png,https://lastfm.freetls.fastly.net/i/u/300x300/076c32b8a2e95ce23e99ac50acc4c02f.png
SOYTTYG12AB017F85E,Make Dat Monet,Aristocrunk,Lord T & Eloise,0,[],291000,82,232,https://lastfm.freetls.fastly.net/i/u/174s/8a2742fd2b2e4d66b620551f3258dac6.png,https://lastfm.freetls.fastly.net/i/u/300x300/8a2742fd2b2e4d66b620551f3258dac6.png
SOUIUYF12AC3DF998F,Two Legged Sheep,Ain't Crying for the Moon,Kingdom Come,2006,"['heavy metal', 'hard rock', 'Lenny Wolf', 'take no stand']",329000,1848,5613,https://lastfm.freetls.fastly.net/i/u/174s/11fdc1bcebcd4044bfc93fdafa969f79.png,https://lastfm.freetls.fastly.net/i/u/300x300/11fdc1bcebcd4044bfc93fdafa969f79.png
SOJGKAD12A58A7D1FF,Chi Sei Adesso,4 x 4,Gemelli Diversi,2009,"['dammi solo un minuto', 'Itlian song']",260000,2234,5608,https://lastfm.freetls.fastly.net/i/u/174s/1ed5e8fed1fb497a85ea9943c81ec642.png,https://lastfm.freetls.fastly.net/i/u/300x300/1ed5e8fed1fb497a85ea9943c81ec642.png
SOCKLYJ12A8C14017E,Stuck On My Vision,Outrageous,Alice In Videoland,2005,"['electronic', 'swedish', 'synthpop', 'Electroclash', 'electronica']",169000,20082,97114,https://lastfm.freetls.fastly.net/i/u/174s/c80143179306b506fda3e399d7e6215d.png,https://lastfm.freetls.fastly.net/i/u/300x300/c80143179306b506fda3e399d7e6215d.png
SOMOSWT12AB017CD5A,Joku muu,Galaksi,Kristian Meurman,2009,[],200000,76,137,https://lastfm.freetls.fastly.net/i/u/174s/ddd7deca1c45a3ddf53f87b22ee11439.png,https://lastfm.freetls.fastly.net/i/u/300x300/ddd7deca1c45a3ddf53f87b22ee11439.png
SOUKOKB12AB018A808,Whaleface (Instrumental),Felt 3: A Tribute To Rosie Perez [Instrumentals & Acapellas],Felt,0,[],179000,86,150,https://lastfm.freetls.fastly.net/i/u/174s/06ecf1dfbe2c42a996e73c53532e0f45.png,https://lastfm.freetls.fastly.net/i/u/300x300/06ecf1dfbe2c42a996e73c53532e0f45.png
SOJLGRD12AB018724F,Brown Paper Bag,Time Flies When You're Gangster Fun,Gangster Fun,1992,[],253000,165,474,https://lastfm.freetls.fastly.net/i/u/174s/5bc1ad7fa4694c7395a7840989fe8cc3.png,https://lastfm.freetls.fastly.net/i/u/300x300/5bc1ad7fa4694c7395a7840989fe8cc3.png
SOZTLAR12A8C1368A9,You Needed Me,Wind Beneath My Wings,Roger Whittaker,1994,[],0,239,510,https://lastfm.freetls.fastly.net/i/u/174s/e35d5abd5835232ed253b83ab1d4d478.png,https://lastfm.freetls.fastly.net/i/u/300x300/e35d5abd5835232ed253b83ab1d4d478.png
SOIOAQZ12A8AE472A2,Pacey Singer,Third Hand Prophecy,A.Human,2008,"['indie', 'its great when youre 08 yeah', 'TL Toplist', 'subverseradio']",225000,1531,11360,https://lastfm.freetls.fastly.net/i/u/174s/8355dd4cf2d0705f29187549e7a8fcf4.png,https://lastfm.freetls.fastly.net/i/u/300x300/8355dd4cf2d0705f29187549e7a8fcf4.png
SOLTAUK12A8AE4611F,Superstition,Halloween Classics: Hellbent For Halloween,Beck_ Bogert_ Appice,0,[],0,0,0,n/a,n/a
SOPRQGM12A58A784F1,Ride,Ride,Tiësto,2006,[],425000,3851,12233,n/a,n/a
SOADQCE12A6D4F64B3,Endangered Species (Tales From The Darkside) (Remix) (Explicit) (Feat. Chuck D),AmeriKKKa's Most Wanted (Explicit),Ice Cube Featuring Chuck D,0,[],0,86,159,n/a,n/a
